artikul,mehsul_adi,aciqlama,ilkin_qiymet,kataloq_qiymeti,anbar_qiymeti,saticilara_ozel_endirimli_qiymet,mehsul_bali
30322,Premium Universal “Dağ təravəti” universal qatılaşdırılmış yuyucu toz,Premium Universal “Dağ təravəti” universal qatılaşdırılmış yuyucu toz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011009-094135?sponsornumber=733560909&page=1,23.99,11.99,8.88,,2.69
30321,Premium Color rəngli parçalar üçün qatılaşdırılmış yuyucu toz,Premium Color rəngli parçalar üçün qatılaşdırılmış yuyucu toz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011009-094134?sponsornumber=733560909&page=1,23.99,11.99,8.88,,2.69
30320,Premium Universal universal qatılaşdırılmış yuyucu toz,Premium Universal universal qatılaşdırılmış yuyucu toz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011009-094133?sponsornumber=733560909&page=1,23.99,11.99,8.88,,2.69
8881,Vitamania “Ananas və laym” köpüklənən vitaminli bədən gel-skrabı,Vitamania “Ananas və laym” köpüklənən vitaminli bədən gel-skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-084510?sponsornumber=733560909&page=1,9.59,4.29,3.18,,0.96
10361,Vitamania “Qreypfrut və quava” vitaminli maye sabunu,Vitamania “Qreypfrut və quava” vitaminli maye sabunu - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-082390?sponsornumber=733560909&page=1,8.39,4.09,3.03,,0.92
41363,Vitamania “Qreypfrut və quava” dodaq balzamı,Vitamania “Qreypfrut və quava” dodaq balzamı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-076598?sponsornumber=733560909&page=1,5.79,3.09,2.29,,0.69
600986,"Qadın şopper çantası, krem rəngi","Qadın şopper çantası, krem rəngi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/02060501-094686?sponsornumber=733560909&page=1",129.59,83.99,67.19,,20.36
12199,Beauty Lab qara düyü ilə üz üçün konsentrat cilalama,Beauty Lab qara düyü ilə üz üçün konsentrat cilalama - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-092642?sponsornumber=733560909&page=1,28.79,21.59,15.99,,9.69
910689,Şvabra üçün dəyişdirilən salfetlər dəsti,Şvabra üçün dəyişdirilən salfetlər dəsti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011002-093014?sponsornumber=733560909&page=1,,11.99,8.88,,2.69
910673,Tutacaqlı multifunksional sürtgəc-tərəvəzdoğrayan,Tutacaqlı multifunksional sürtgəc-tərəvəzdoğrayan - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-087049?sponsornumber=733560909&page=1,95.99,67.19,49.77,,15.08
3569,Umooo 3+ oyuncaqlı uşaq köpürən vanna şarı,Umooo 3+ oyuncaqlı uşaq köpürən vanna şarı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/0103-067151?sponsornumber=733560909&page=1,9.59,4.79,3.55,,1.08
10390,Expert “Sarılığın neytrallaşdırılması” rəngverici saç balzamı,Expert “Sarılığın neytrallaşdırılması” rəngverici saç balzamı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-091609?sponsornumber=733560909&page=1,19.19,11.49,8.51,,5.16
3980,Expert Pharma alüminium duzları olmayan ağardıcı effektli dezodorant,Expert Pharma alüminium duzları olmayan ağardıcı effektli dezodorant - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-092963?sponsornumber=733560909&page=1,9.59,5.29,3.92,,2.38
3887,Expert Pharma “Vizual ağartma” diş məcunu,Expert Pharma “Vizual ağartma” diş məcunu - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-085201?sponsornumber=733560909&page=1,19.19,9.59,7.1,,2.15
3584,Bon Journey “Bali” duş geli,Bon Journey “Bali” duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-065887?sponsornumber=733560909&page=1,10.79,5.69,4.21,,1.28
3583,Bon Journey “Maldivlər” duş geli,Bon Journey “Maldivlər” duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-065886?sponsornumber=733560909&page=1,10.79,5.69,4.21,,1.28
15012,SA:CURE “İncə cilalama” əl skrabı,SA:CURE “İncə cilalama” əl skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-074014?sponsornumber=733560909&page=1,7.19,5.49,4.07,2.59,2.47
15010,SA:CURE “Maye əlcək” əl kremi,SA:CURE “Maye əlcək” əl kremi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-074012?sponsornumber=733560909&page=1,9.59,7.19,5.33,3.1,3.23
13025,Firm&Lift göz qapaqları üçün bərpaedici krem,Firm&Lift göz qapaqları üçün bərpaedici krem - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080203-081413?sponsornumber=733560909&page=1,16.79,11.99,8.88,5.84,5.38
3624,Parfümləşdirilmiş duş gel-yağı Pink Orchid,Parfümləşdirilmiş duş gel-yağı Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-092962?sponsornumber=733560909&page=0,11.99,9.09,6.73,4.36,4.08
3622,Parfümləşdirilmiş duş geli Pink Orchid,Parfümləşdirilmiş duş geli Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-092960?sponsornumber=733560909&page=0,14.39,9.59,7.1,5.25,4.3
13013,Əl və bədən üçün krem-parfüm Pink Orchid,Əl və bədən üçün krem-parfüm Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-085940?sponsornumber=733560909&page=0,14.39,9.59,7.1,5.25,4.3
3632,Parfümləşdirilmiş bədən duzlu skrabı Pink Orchid,Parfümləşdirilmiş bədən duzlu skrabı Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-096551?sponsornumber=733560909&page=0,19.19,14.39,10.66,7.03,6.46
13014,Parfümləşdirilmiş bədən və saç misti Pink Orchid,Parfümləşdirilmiş bədən və saç misti Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-085941?sponsornumber=733560909&page=0,9.59,7.19,5.33,3.47,3.23
12212,iSeul yuma üçün gel-buz,iSeul yuma üçün gel-buz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-092646?sponsornumber=733560909&page=0,28.79,15.59,11.55,,7.0
10321,Vitamania “Qreypfrut və quava” vitaminli duş geli,Vitamania “Qreypfrut və quava” vitaminli duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-063945?sponsornumber=733560909&page=0,9.59,4.79,3.55,,1.08
10363,Vitamania “Qreypfrut və quava” duzlu bədən skrabı,Vitamania “Qreypfrut və quava” duzlu bədən skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-084508?sponsornumber=733560909&page=0,16.79,9.09,6.73,,2.04
10364,Vitamania “Manqo və papayya” duzlu bədən skrabı,Vitamania “Manqo və papayya” duzlu bədən skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-084509?sponsornumber=733560909&page=0,16.79,9.09,6.73,,2.04
12081,Leto SPF 50 üz üçün günəşdən qoruyucu krem,Leto SPF 50 üz üçün günəşdən qoruyucu krem - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080101-060520?sponsornumber=733560909&page=0,19.19,9.59,7.1,,4.3
10319,"Saç tökülməsinə qarşı şampun ""Qara zirə""","Saç tökülməsinə qarşı şampun ""Qara zirə"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-064298?sponsornumber=733560909&page=0",8.39,4.09,3.03,,0.92
10352,Şampun «Qlobal rekonstruksiya» Expert Hair,Şampun «Qlobal rekonstruksiya» Expert Hair - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-079640?sponsornumber=733560909&page=0,23.99,13.19,9.77,,2.96
2731,Bütün saç tipləri üçün şampun “Qidalanma və bərpa” L.OVE,Bütün saç tipləri üçün şampun “Qidalanma və bərpa” L.OVE - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070303-004328?sponsornumber=733560909&page=0,11.99,5.49,4.07,,1.23
2591,Dezodorant-antiperspirant Delicate Green IDEO,Dezodorant-antiperspirant Delicate Green IDEO - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-00148?sponsornumber=733560909&page=0,7.19,3.59,2.66,,0.81
20009,Almalı duş geli,Almalı duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-085115?sponsornumber=733560909&page=0,8.39,4.09,3.03,,0.92
3553,Həssas dəri üçün parfümləşdirilmiş intim gigiyena geli Fleur Hypnotique,Həssas dəri üçün parfümləşdirilmiş intim gigiyena geli Fleur Hypnotique - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-068370?sponsornumber=733560909&page=0,9.59,4.79,3.55,,1.08
12670,Göz ətrafı dərisi üçün hidrogel patçlar Bee Royal,Göz ətrafı dərisi üçün hidrogel patçlar Bee Royal - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-065264?sponsornumber=733560909&page=0,21.59,16.79,12.44,,7.54
12187,Çox quru dəri nahiyələri üçün krem-müm Expert Pharma,Çox quru dəri nahiyələri üçün krem-müm Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010804-082933?sponsornumber=733560909&page=0,11.99,4.79,3.55,,1.08
0993,Göz ətrafı dərisi üçün hidrogel patçlar iSeul,Göz ətrafı dərisi üçün hidrogel patçlar iSeul - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-064188?sponsornumber=733560909&page=0,21.59,10.79,7.99,,4.84
20005,"Duş geli ""Çiyələkli"", 380 ml","Duş geli ""Çiyələkli"", 380 ml - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-044479?sponsornumber=733560909&page=0",8.39,4.09,3.03,,0.92
11289,Anion çiplə gündüz gigiyenik bezlər,Anion çiplə gündüz gigiyenik bezlər - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-00303?sponsornumber=733560909&page=1,10.99,6.59,4.88,,1.48
12155,Üz üçün gündüz lifginq-krem Retinol 24/7,Üz üçün gündüz lifginq-krem Retinol 24/7 - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-068402?sponsornumber=733560909&page=1,14.39,7.19,5.33,,3.23
12227,"2-si 1-də əl kremi ""Pantenol""","2-si 1-də əl kremi ""Pantenol"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-064038?sponsornumber=733560909&page=1",5.29,2.89,2.14,,0.65
3743,“Vetiver və qreypfrut” parfümləşdirilmiş dezodorantı iDeo,“Vetiver və qreypfrut” parfümləşdirilmiş dezodorantı iDeo - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-085200?sponsornumber=733560909&page=1,11.99,7.19,5.33,,1.62
3740,“Yasəmən və iris” parfümləşdirilmiş dezodorantı iDeo,“Yasəmən və iris” parfümləşdirilmiş dezodorantı iDeo - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-085197?sponsornumber=733560909&page=1,11.99,7.19,5.33,,1.62
3742,“Berqamot və istiot” parfümləşdirilmiş dezodorantı iDeo,“Berqamot və istiot” parfümləşdirilmiş dezodorantı iDeo - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-085199?sponsornumber=733560909&page=1,11.99,7.19,5.33,,1.62
20007,Qarağatlı duş geli,Qarağatlı duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-065604?sponsornumber=733560909&page=1,8.39,4.09,3.03,,0.92
10337,"Şampun ""Möhkəmləndirmə və qidalandırma"" Salon Care","Şampun ""Möhkəmləndirmə və qidalandırma"" Salon Care - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-069615?sponsornumber=733560909&page=1",19.19,14.39,10.66,,6.46
8874,Moruq ilə bəyazladıcı diş məcunu «Diş əti sağlamlığı» Bubble White,Moruq ilə bəyazladıcı diş məcunu «Diş əti sağlamlığı» Bubble White - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-066783?sponsornumber=733560909&page=1,9.59,5.29,3.92,,1.19
12065,Göz ətrafı dərisi üçün ekspress-korrektor Beauty Lab,Göz ətrafı dərisi üçün ekspress-korrektor Beauty Lab - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-062389?sponsornumber=733560909&page=1,16.79,9.59,7.1,,4.3
12158,Zərif yuynma geli Retinol 24/7,Zərif yuynma geli Retinol 24/7 - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-068405?sponsornumber=733560909&page=1,11.99,9.09,6.73,3.99,4.08
3631,Parfümləşdirilmiş dezodorant Pink Orchid,Parfümləşdirilmiş dezodorant Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-096542?sponsornumber=733560909&page=1,7.89,5.99,4.44,3.1,2.69
3623,Parfümləşdirilmiş maye sabun Pink Orchid,Parfümləşdirilmiş maye sabun Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-092961?sponsornumber=733560909&page=1,9.59,7.19,5.33,3.47,3.23
12164,Vitamania “Qreypfrut və quava” vitaminli bədən misti,Vitamania “Qreypfrut və quava” vitaminli bədən misti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-076279?sponsornumber=733560909&page=1,5.29,4.09,3.03,1.92,1.84
12213,Retinol 24/7 ikinci çənəyə qarşı parça liftinq-maskası,Retinol 24/7 ikinci çənəyə qarşı parça liftinq-maskası - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-092647?sponsornumber=733560909&page=1,5.99,2.89,2.14,,0.65
8881,Vitamania “Ananas və laym” köpüklənən vitaminli bədən gel-skrabı,Vitamania “Ananas və laym” köpüklənən vitaminli bədən gel-skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-084510?sponsornumber=733560909&page=1,9.59,4.29,3.18,,0.96
10361,Vitamania “Qreypfrut və quava” vitaminli maye sabunu,Vitamania “Qreypfrut və quava” vitaminli maye sabunu - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-082390?sponsornumber=733560909&page=1,8.39,4.09,3.03,,0.92
41363,Vitamania “Qreypfrut və quava” dodaq balzamı,Vitamania “Qreypfrut və quava” dodaq balzamı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020201-076598?sponsornumber=733560909&page=1,5.79,3.09,2.29,,0.69
12199,Beauty Lab qara düyü ilə üz üçün konsentrat cilalama,Beauty Lab qara düyü ilə üz üçün konsentrat cilalama - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-092642?sponsornumber=733560909&page=1,28.79,21.59,15.99,,9.69
3569,Umooo 3+ oyuncaqlı uşaq köpürən vanna şarı,Umooo 3+ oyuncaqlı uşaq köpürən vanna şarı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/0103-067151?sponsornumber=733560909&page=1,9.59,4.79,3.55,,1.08
10390,Expert “Sarılığın neytrallaşdırılması” rəngverici saç balzamı,Expert “Sarılığın neytrallaşdırılması” rəngverici saç balzamı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070302-091609?sponsornumber=733560909&page=2,19.19,11.49,8.51,,5.16
3980,Expert Pharma alüminium duzları olmayan ağardıcı effektli dezodorant,Expert Pharma alüminium duzları olmayan ağardıcı effektli dezodorant - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-092963?sponsornumber=733560909&page=2,9.59,5.29,3.92,,2.38
3887,Expert Pharma “Vizual ağartma” diş məcunu,Expert Pharma “Vizual ağartma” diş məcunu - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-085201?sponsornumber=733560909&page=2,19.19,9.59,7.1,,2.15
3584,Bon Journey “Bali” duş geli,Bon Journey “Bali” duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-065887?sponsornumber=733560909&page=2,10.79,5.69,4.21,,1.28
3583,Bon Journey “Maldivlər” duş geli,Bon Journey “Maldivlər” duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-065886?sponsornumber=733560909&page=2,10.79,5.69,4.21,,1.28
15012,SA:CURE “İncə cilalama” əl skrabı,SA:CURE “İncə cilalama” əl skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-074014?sponsornumber=733560909&page=2,7.19,5.49,4.07,2.59,2.47
15010,SA:CURE “Maye əlcək” əl kremi,SA:CURE “Maye əlcək” əl kremi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-074012?sponsornumber=733560909&page=2,9.59,7.19,5.33,3.1,3.23
13025,Firm&Lift göz qapaqları üçün bərpaedici krem,Firm&Lift göz qapaqları üçün bərpaedici krem - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080203-081413?sponsornumber=733560909&page=2,16.79,11.99,8.88,5.84,5.38
13022,Firm & Lift göz qapaqları üçün modelləşdirici krem,Firm & Lift göz qapaqları üçün modelləşdirici krem - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080203-081410?sponsornumber=733560909&page=2,16.79,11.99,8.88,5.84,5.38
15014,SA:CURE “Cavanlaşdırma formulu” əl kremi,SA:CURE “Cavanlaşdırma formulu” əl kremi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-074016?sponsornumber=733560909&page=2,7.19,5.49,4.07,2.59,2.47
15013,SA:CURE “Ekstra nəmləndirmə” əl kremi,SA:CURE “Ekstra nəmləndirmə” əl kremi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-074015?sponsornumber=733560909&page=2,11.99,9.09,6.73,3.99,4.08
12169,Bon Journey “Tayland” bədən misti,Bon Journey “Tayland” bədən misti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-076283?sponsornumber=733560909&page=2,5.29,2.89,2.14,,0.65
12168,Bon Journey “Bali” bədən misti,Bon Journey “Bali” bədən misti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-076282?sponsornumber=733560909&page=2,5.29,2.89,2.14,,0.65
12167,Bon Journey “Maldivlər” bədən misti,Bon Journey “Maldivlər” bədən misti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-076281?sponsornumber=733560909&page=2,5.29,2.89,2.14,,0.65
12194,2-si 1-də “Enerji və parlaqlıq” üz kremi,2-si 1-də “Enerji və parlaqlıq” üz kremi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-086348?sponsornumber=733560909&page=2,7.89,3.79,2.81,,0.85
8879,Bubble White moruqlu ağız təravətləndiricisi,Bubble White moruqlu ağız təravətləndiricisi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-084507?sponsornumber=733560909&page=2,7.19,4.29,3.18,,1.93
8876,Bubble White üzümlü ağız yaxalayıcısı,Bubble White üzümlü ağız yaxalayıcısı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-083002?sponsornumber=733560909&page=2,11.99,5.99,4.44,,1.35
3587,Bon Journey “Tayland” duş geli,Bon Journey “Tayland” duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-065890?sponsornumber=733560909&page=2,10.79,5.69,4.21,,1.28
3559,“Əfsanəvi oksigen” oksigenli universal üz kremi,“Əfsanəvi oksigen” oksigenli universal üz kremi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080201-073675?sponsornumber=733560909&page=2,21.59,14.39,10.66,,6.46
3617,Yeniyetmə oğlanlar üçün dezodorant iDeo,Yeniyetmə oğlanlar üçün dezodorant iDeo - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-085174?sponsornumber=733560909&page=2,7.19,3.59,2.66,,0.81
3616,Yeniyetmə qızlar üçün dezodorant iDeo,Yeniyetmə qızlar üçün dezodorant iDeo - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-085173?sponsornumber=733560909&page=3,7.19,3.59,2.66,,0.81
3870,“Gündəlik ağartma” konsentrat diş məcunu Expert Pharma,“Gündəlik ağartma” konsentrat diş məcunu Expert Pharma - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010601-071910?sponsornumber=733560909&page=3,9.59,4.79,3.55,,1.08
10401,Expert “Günəşdən qorunma” saç spreyi,Expert “Günəşdən qorunma” saç spreyi - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01070301-093966?sponsornumber=733560909&page=3,9.59,4.79,3.55,,2.15
12191,“İtlər” dartıcı parça üz maskası iSeul,“İtlər” dartıcı parça üz maskası iSeul - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-085146?sponsornumber=733560909&page=3,5.99,2.89,2.14,,0.65
12188,Leto SPF 50 günəşdən qoruyucu stik,Leto SPF 50 günəşdən qoruyucu stik - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080101-084279?sponsornumber=733560909&page=3,19.19,11.49,8.51,,5.16
